MEDIDOR,mes,dia,año,periodo,importe ($),demanda (kw),consumo (kwh)
170796743,1,28,2022,Verano,0,0,0
5070279,1,28,2022,Verano,1.38,0,0
14100718,1,28,2022,Verano,1.38,0,0
5070182,1,28,2022,Verano,1.39,0,0
5070260,1,28,2022,Verano,1.39,0,0
5070425,1,28,2022,Verano,1.39,0,0
5070428,1,28,2022,Verano,1.39,0,0
14100720,1,28,2022,Verano,1.39,0,2
69406118,1,28,2022,Verano,1.4,0,1
5070257,1,28,2022,Verano,3.12,0,32
14000318,1,28,2022,Verano,3.73,0.2,40
14102718,1,28,2022,Verano,3.88,0,42
5073556,1,28,2022,Verano,3.97,0,43
1809126635,1,28,2022,Verano,4.11,0,45
712986,1,28,2022,Verano,7.24,0,80
78800436,1,28,2022,Verano,7.24,2,80
5073553,1,28,2022,Verano,7.35,0,88
5070426,1,28,2022,Verano,7.76,0,93
62086091,1,28,2022,Verano,8.02,0,97
5070259,1,28,2022,Verano,8.61,0,105
5073555,1,28,2022,Verano,9.13,0,112
53064654,1,28,2022,Verano,9.51,2,118
5070181,1,28,2022,Verano,10.09,0,125
17846279,1,28,2022,Verano,10.75,2,120
5070258,1,28,2022,Verano,11.74,0,146
5070427,1,28,2022,Verano,22.76,0,289
15004519,1,28,2022,Verano,44.6,5,400
50001054,1,28,2022,Verano,240.4,14,1500
163806535,1,28,2022,Verano,430.83,18,2000
18790336,1,28,2022,Verano,490.39,19,1600
3001351,1,28,2022,Verano,528.79,0,2100
13001019,1,28,2022,Verano,654.38,24,2080
17791530,1,28,2022,Verano,709.52,14,3200
13001327,1,28,2022,Verano,731.25,28,2400
144664857,1,28,2022,Verano,838.65,16,3200
17791158,1,28,2022,Verano,868.54,25,4160
18792324,1,28,2022,Verano,906.86,43,3600
18792946,1,28,2022,Verano,909.9,40,2400
18792953,1,28,2022,Verano,964.52,54,1600
150549252,1,28,2022,Verano,1266.9,30,4960
18792647,1,28,2022,Verano,1362.51,43,4880
1707900616,1,28,2022,Verano,1538.73,61,4640
17790969,1,28,2022,Verano,1793.98,54,6720
13001218,1,28,2022,Verano,1947.33,53,7687
13000875,1,28,2022,Verano,2561.32,82,11040
14000987,1,28,2022,Verano,2983.12,78,10847
17791239,1,28,2022,Verano,3417.08,69,15000
14000888,1,28,2022,Verano,3897.95,95,16080
3143240218,1,28,2022,Verano,11537.62,235,58450
3143290146,1,28,2022,Verano,11938.26,228,50400
3180050301,1,28,2022,Verano,36432.94,882,172200
3143240198,1,28,2022,Verano,65891.02,1333,335089
23990650,1,28,2023,Verano,0,0,0
23990876,1,28,2023,Verano,0,0,0
2309106513,1,28,2023,Verano,0,0,0
5073556,1,28,2023,Verano,2.94,0,8
5070182,1,28,2023,Verano,2.95,0,0
5070279,1,28,2023,Verano,2.95,0,0
5070427,1,28,2023,Verano,2.95,0,0
5070426,1,28,2023,Verano,3.09,0,11
5070428,1,28,2023,Verano,4.6,0,21
5070257,1,28,2023,Verano,7.01,0,37
62086091,1,28,2023,Verano,7.46,0,40
1809126635,1,28,2023,Verano,7.77,0,42
5070258,1,28,2023,Verano,8.07,0,44
5073555,1,28,2023,Verano,8.97,0,50
5073553,1,28,2023,Verano,10.77,0,62
5070260,1,28,2023,Verano,11.23,0,65
14000318,1,28,2023,Verano,13.49,0.12,80
5070259,1,28,2023,Verano,13.64,0,81
712986,1,28,2023,Verano,14.51,0,80
69406118,1,28,2023,Verano,16.2,0.54,98
14100718,1,28,2023,Verano,16.95,0,103
5070425,1,28,2023,Verano,19.82,0,122
14102718,1,28,2023,Verano,21.32,0,132
17846279,1,28,2023,Verano,21.46,2,120
14100720,1,28,2023,Verano,25.24,0,158
5070181,1,28,2023,Verano,30.82,0,195
78800436,1,28,2023,Verano,80.03,4,400
15004519,1,28,2023,Verano,96.38,5.2,480
53064654,1,28,2023,Verano,112.96,3.36,560
3001351,1,28,2023,Verano,425,0,1700
50001054,1,28,2023,Verano,436.53,11.76,1680
13001019,1,28,2023,Verano,619.95,27.52,2240
18792953,1,28,2023,Verano,647.38,43.2,0
17791530,1,28,2023,Verano,662.78,26.88,2027
18792324,1,28,2023,Verano,675,43.4,2700
163806535,1,28,2023,Verano,680.33,27,3000
18792946,1,28,2023,Verano,810.96,39.68,1677
18790336,1,28,2023,Verano,906.71,40.56,2720
13001327,1,28,2023,Verano,1015.28,37.56,3600
170796743,1,28,2023,Verano,1040.98,26,3840
17791158,1,28,2023,Verano,1044.28,58.72,4320
1707900616,1,28,2023,Verano,1308.43,57.28,5280
18792647,1,28,2023,Verano,1413.93,65.84,3598
150549252,1,28,2023,Verano,1520.91,40,5440
13001218,1,28,2023,Verano,1567.12,55.92,5640
17791239,1,28,2023,Verano,2377.62,99,10500
17790969,1,28,2023,Verano,2919.15,94.08,9200
13000875,1,28,2023,Verano,3253.55,112.16,11200
14000987,1,28,2023,Verano,4723.57,159.88,13300
14000888,1,28,2023,Verano,5025.23,172.56,20640
3143290146,1,28,2023,Verano,13139.18,276,51600
3143240218,1,28,2023,Verano,14388.27,249,73850
3180050301,1,28,2023,Verano,43012.46,798,216300
3143240198,1,28,2023,Verano,87307.94,1443,454072
23991862,1,28,2024,Verano,0,0,0
62086091,1,28,2024,Verano,0.82,0,6
5073556,1,28,2024,Verano,0.85,0,4
5070182,1,28,2024,Verano,1.17,0,7
5070181,1,28,2024,Verano,2.57,0,19
712986,1,28,2024,Verano,2.69,0,0
5070427,1,28,2024,Verano,3.37,0,27
627568,1,28,2024,Verano,4.28,0,51
2309106513,1,28,2024,Verano,4.44,0,35
5070428,1,28,2024,Verano,4.79,0,36
14000318,1,28,2024,Verano,5.41,0.08,40
1809126635,1,28,2024,Verano,6.71,0,49
5070258,1,28,2024,Verano,7.61,0,55
5073553,1,28,2024,Verano,7.71,0,56
5073555,1,28,2024,Verano,8.13,0,58
5070426,1,28,2024,Verano,11.37,0,80
5070257,1,28,2024,Verano,11.81,0,83
14100718,1,28,2024,Verano,13.89,0,95
5070259,1,28,2024,Verano,16.11,0,110
14100720,1,28,2024,Verano,17.51,0,113
14102718,1,28,2024,Verano,20.77,0,140
5070425,1,28,2024,Verano,20.8,0,137
69406118,1,28,2024,Verano,22.86,1.01,149
5070260,1,28,2024,Verano,24.2,0,161
17846279,1,28,2024,Verano,34.29,4,160
15004519,1,28,2024,Verano,47.67,2.96,320
78800436,1,28,2024,Verano,50.9,4,240
53064654,1,28,2024,Verano,97.81,4.36,520
3001351,1,28,2024,Verano,499.88,0,2000
18792324,1,28,2024,Verano,799.56,0,3200
50001054,1,28,2024,Verano,858.74,19,2160
13001019,1,28,2024,Verano,1027,24,4160
163806535,1,28,2024,Verano,1157.47,21,3920
18792953,1,28,2024,Verano,1425.73,60.08,2240
18790336,1,28,2024,Verano,1451.35,34,3360
23990650,1,28,2024,Verano,1531.51,33,4080
17791530,1,28,2024,Verano,1580.66,0,6782
170796743,1,28,2024,Verano,1799.93,38,5680
13001218,1,28,2024,Verano,1931.53,53.76,6720
150549252,1,28,2024,Verano,2053.73,40,6760
23990876,1,28,2024,Verano,2077.85,66.72,5920
1707900616,1,28,2024,Verano,2211.63,56.64,8480
17791158,1,28,2024,Verano,2327.39,56,5120
18792647,1,28,2024,Verano,3182.6,61.2,14400
17791239,1,28,2024,Verano,3621.09,75.6,15000
17790969,1,28,2024,Verano,4095.61,127.2,12880
13000875,1,28,2024,Verano,5133.41,114,12640
14000987,1,28,2024,Verano,5879.88,181.3,14560
14000888,1,28,2024,Verano,7014.21,181.68,25920
3143290146,1,28,2024,Verano,15755.03,240,55600
3143240218,1,28,2024,Verano,18036.2,287,75600
3180050301,1,28,2024,Verano,60181.31,1050,245700
3143240198,1,28,2024,Verano,115877.64,1554,508052
184586134,1,31,2025,Verano,-1.35,0,0
627568,1,31,2025,Verano,-0.01,0,24
13001019,1,31,2025,Verano,0,32,3040
15004519,1,31,2025,Verano,0,5,480
62086091,1,31,2025,Verano,1.09,0,0
5070182,1,31,2025,Verano,2.27,0,0
5073556,1,31,2025,Verano,2.92,0,9
14000318,1,31,2025,Verano,3.16,0,0
5070181,1,31,2025,Verano,4.3,0,21
5070427,1,31,2025,Verano,7.29,0,44
1809126635,1,31,2025,Verano,7.87,0,42
5070259,1,31,2025,Verano,7.88,0,45
5070428,1,31,2025,Verano,8.44,0,47
2309106513,1,31,2025,Verano,8.46,0,46
5073553,1,31,2025,Verano,8.71,0,50
5070257,1,31,2025,Verano,8.8,0,50
5070258,1,31,2025,Verano,10.3,0,69
5073555,1,31,2025,Verano,10.94,0,69
14100718,1,31,2025,Verano,12.14,0,71
5070260,1,31,2025,Verano,12.79,0,86
5070426,1,31,2025,Verano,19.12,0,134
218400842,1,31,2025,Verano,21.56,2,135
14102718,1,31,2025,Verano,21.85,0,137
5070425,1,31,2025,Verano,24.12,0,161
14100720,1,31,2025,Verano,32.89,0,212
17846279,1,31,2025,Verano,46.29,1,280
78800436,1,31,2025,Verano,62.08,14,320
53064654,1,31,2025,Verano,101.03,4,560
3001351,1,31,2025,Verano,450,0,1800
18792324,1,31,2025,Verano,700,26,2800
23991862,1,31,2025,Verano,1069.16,34,3200
23990650,1,31,2025,Verano,1072.95,26,3240
163806535,1,31,2025,Verano,1120.79,23,4560
1707900616,1,31,2025,Verano,1196.29,69,0
23992977,1,31,2025,Verano,1354.18,56,2320
13001218,1,31,2025,Verano,1383.54,57,6300
50001054,1,31,2025,Verano,1492.86,19,3540
170796743,1,31,2025,Verano,1520.29,36,5760
18790336,1,31,2025,Verano,1773.93,57,2480
18792647,1,31,2025,Verano,2094.16,76,5040
150549252,1,31,2025,Verano,2205.53,40,9520
23990876,1,31,2025,Verano,2305.26,75,6720
17791158,1,31,2025,Verano,2328.88,69,4480
17790969,1,31,2025,Verano,2497.17,136,1581
17791239,1,31,2025,Verano,2541.2,65,11400
13000875,1,31,2025,Verano,4371.43,111,12160
14000987,1,31,2025,Verano,4551.86,133,12460
14000888,1,31,2025,Verano,6099.56,160,22560
3143290146,1,31,2025,Verano,11867.38,208,50400
3143240218,1,31,2025,Verano,14970.76,266,76300
3180050301,1,31,2025,Verano,55861.54,840,298200
3143240198,1,31,2025,Verano,89609.61,1469,467238
170796743,2,28,2022,Verano,0,0,0
14100718,2,28,2022,Verano,1.38,0,0
5070279,2,28,2022,Verano,1.39,0,0
5070182,2,28,2022,Verano,1.4,0,0
5070260,2,28,2022,Verano,1.4,0,0
5070425,2,28,2022,Verano,1.4,0,0
14100720,2,28,2022,Verano,1.4,0,1
69406118,2,28,2022,Verano,1.44,0,0
14102718,2,28,2022,Verano,1.74,0,13
5070257,2,28,2022,Verano,3.13,0,29
5073556,2,28,2022,Verano,3.79,0,39
14000318,2,28,2022,Verano,3.91,0,40
1809126635,2,28,2022,Verano,3.98,0,41
53064654,2,28,2022,Verano,3.99,2,40
5070428,2,28,2022,Verano,5.57,0,63
5073553,2,28,2022,Verano,6.42,0,72
5073555,2,28,2022,Verano,7.38,0,84
5070259,2,28,2022,Verano,7.79,0,90
5070426,2,28,2022,Verano,8.24,0,95
5070181,2,28,2022,Verano,9.16,0,108
62086091,2,28,2022,Verano,10.97,0,130
5070258,2,28,2022,Verano,14.01,0,169
712986,2,28,2022,Verano,15.23,1,160
5070427,2,28,2022,Verano,20.45,0,249
78800436,2,28,2022,Verano,22.69,3,240
17846279,2,28,2022,Verano,26.44,3,280
15004519,2,28,2022,Verano,46.45,5,320
50001054,2,28,2022,Verano,315.32,15,1980
163806535,2,28,2022,Verano,518.76,26,2280
18790336,2,28,2022,Verano,602.96,18,2640
3001351,2,28,2022,Verano,725,0,2900
13001327,2,28,2022,Verano,857.2,25,3840
17791530,2,28,2022,Verano,901.03,17,3840
13001019,2,28,2022,Verano,967.64,24,3840
144664857,2,28,2022,Verano,1065.99,28,3120
18792953,2,28,2022,Verano,1076.66,54,2240
17791158,2,28,2022,Verano,1135,29,5600
18792946,2,28,2022,Verano,1203.19,40,4000
18792324,2,28,2022,Verano,1275,43,5100
150549252,2,28,2022,Verano,1417.63,30,5560
18792647,2,28,2022,Verano,2038.97,46,8320
1707900616,2,28,2022,Verano,2086.99,75,6560
13001218,2,28,2022,Verano,2346.15,51,9780
17790969,2,28,2022,Verano,2407.68,61,9440
14000987,2,28,2022,Verano,2804.01,55,11200
17791239,2,28,2022,Verano,3215.79,72,12900
13000875,2,28,2022,Verano,3397.76,88,16480
14000888,2,28,2022,Verano,5123.79,113,20880
3143240218,2,28,2022,Verano,11862.83,238,56700
3143290146,2,28,2022,Verano,12798.45,244,51200
3180050301,2,28,2022,Verano,35421.2,777,163800
3143240198,2,28,2022,Verano,68019.16,1395,323010
23990650,2,28,2023,Verano,0,0,0
23990876,2,28,2023,Verano,0,0,0
2309106513,2,28,2023,Verano,0,0,0
5073556,2,28,2023,Verano,2.94,0,7
5070182,2,28,2023,Verano,2.95,0,0
5070279,2,28,2023,Verano,2.95,0,0
5070427,2,28,2023,Verano,2.95,0,0
5070428,2,28,2023,Verano,2.95,0,0
5070426,2,28,2023,Verano,6.23,0,32
62086091,2,28,2023,Verano,6.69,0,35
5070258,2,28,2023,Verano,8.03,0,44
5073553,2,28,2023,Verano,9.23,0,52
1809126635,2,28,2023,Verano,9.38,0,53
5073555,2,28,2023,Verano,11.33,0,66
5070259,2,28,2023,Verano,11.77,0,69
5070257,2,28,2023,Verano,12.23,0,72
5070181,2,28,2023,Verano,14.02,0,84
712986,2,28,2023,Verano,14.78,1,80
14000318,2,28,2023,Verano,19.43,0.12,120
14102718,2,28,2023,Verano,22.27,0,139
69406118,2,28,2023,Verano,24.36,0.54,153
5070425,2,28,2023,Verano,27.22,0,172
14100718,2,28,2023,Verano,29.91,0,190
14100720,2,28,2023,Verano,35.15,0,225
5070260,2,28,2023,Verano,35.3,0,226
78800436,2,28,2023,Verano,43.15,5,240
15004519,2,28,2023,Verano,79.95,4.56,400
17846279,2,28,2023,Verano,81.71,3,400
53064654,2,28,2023,Verano,169.61,2.4,720
163806535,2,28,2023,Verano,585.73,16,2520
50001054,2,28,2023,Verano,694.81,17.64,2760
3001351,2,28,2023,Verano,800.83,0,3200
13001019,2,28,2023,Verano,1022.78,27.52,4480
17791530,2,28,2023,Verano,1029.41,26.88,5760
18792946,2,28,2023,Verano,1086.86,39.68,4320
18792324,2,28,2023,Verano,1201.34,31.7,4800
