fecha,consumo_kwh,demanda_kw,importe,n_medidores,tarifa_prom
2022-01-01,729891.0,3549.2,155037.51,52,0.212411866977398
2022-02-01,739473.0,3578.0,163815.31,52,0.2215298056859412
2022-03-01,900131.0,4092.38,198658.185,52,0.22069919267306648
2022-04-01,1049506.0,4273.0,233430.047,52,0.2224189733074418
2022-05-01,1101952.0,4223.5,259365.81,52,0.2353694262545011
2022-06-01,1120407.0,4077.76,262206.84,52,0.23402820582163447
2022-07-01,942329.54,4063.35786,238002.51,52,0.25256823637302084
2022-08-01,1104193.0,4153.42,228681.77000000002,52,0.20710307890015606
2022-09-01,1212951.53,4489.88,254529.2,52,0.209842845080545
2022-10-01,1196012.08,4334.7,243983.90000000002,52,0.20399785594138817
2022-11-01,1060634.0,4437.92,229298.4,52,0.21618993922502955
2022-12-01,839608.0,4000.0,184078.34,52,0.21924319444312107
2023-01-01,913113.0,4020.2200000000003,191486.12,54,0.20970692564885177
2023-02-01,967786.0,4104.9400000000005,207865.74,54,0.21478481813128109
2023-03-01,1181803.0,4461.68,239056.99,54,0.20228159007888794
2023-04-01,1251880.0,4839.74,261064.53999999998,54,0.20853799086174393
2023-05-01,1475036.0,4983.389999999999,299994.36,54,0.20338104290335965
2023-06-01,1440338.0,4865.47,291993.99,54,0.20272601986478173
2023-07-01,1327420.0,4515.33,280462.33999999997,54,0.21128379864699942
2023-08-01,1149948.0,4625.47,254955.58000000002,54,0.2217105295195957
2023-09-01,1348979.0,4639.18927,280023.14,54,0.20758154129901207
2023-10-01,1189681.0,4506.55433,224779.3,54,0.1889408169080619
2023-11-01,802418.0,4311.860000000001,182259.08,54,0.2271373274278493
2023-12-01,831270.0,4597.4,191367.15,54,0.23021058139954526
2024-01-01,1053685.0,4390.59,261961.47999999998,53,0.24861460493411217
2024-02-01,1085625.0,4544.0,268841.72,53,0.2476377386298215
2024-03-01,1254786.0,5102.05,295154.99,52,0.23522336876567
2024-04-01,1451099.0,5047.0,324272.18,52,0.22346661392503198
2024-05-01,1483481.0,4964.0,328383.49,52,0.2213600915684124
2024-06-01,1421246.0,4876.0,318938.53,52,0.22440768874635358
2024-07-01,1345879.0,4771.0,304785.81,52,0.2264585523661488
2024-08-01,1368113.0,4686.0,295599.55,52,0.2160636950310391
2024-09-01,1382583.0,4652.0,307592.13,52,0.22247642998648182
2024-10-01,1422549.0,4614.0,277414.54,52,0.19501229131650297
2024-11-01,1148337.0,4506.0,228846.6,52,0.1992852272460088
2024-12-01,846588.0,4261.0,185372.29,52,0.21896399429238309
2025-01-01,1020191.0,4109.0,214883.27000000002,52,0.21063043096831868
2025-02-01,1296686.0,4197.0,256099.36000000002,52,0.1975029883873197
2025-03-01,1182117.0,4253.0,246738.94,52,0.2087263274278265
2025-04-01,1383986.0,4887.0,295462.29,52,0.21348647312906344
2025-05-01,1442896.0,4940.0,303764.18,52,0.21052396014681585
2025-06-01,1351736.0,4615.0,279128.81,52,0.20649654222422129
2025-07-01,1429733.0,4448.0,286586.74,52,0.20044773394752727
2025-08-01,1294251.0,4639.0,272474.61,52,0.21052686843587526
2025-09-01,1385650.0,4640.0,285713.1,52,0.20619427705409013
2025-10-01,1449784.0,4545.0,295330.17,52,0.20370632452834353
2025-11-01,1150329.0,4529.0,246355.54,52,0.21416094004410913
2025-12-01,997243.0,4197.0,219458.97,52,0.22006569111039134
2026-01-01,1036911.0,4115.0,226980.73,52,0.21890087963190671
2026-02-01,1010307.0,4079.0,226734.02,52,0.22442091364308075
2026-03-01,1222714.0,4498.0,271885.36,54,0.22236218772337601
2026-04-01,1408567.0,5079.0,318612.20999999996,54,0.22619599209693253
2026-05-01,1571454.0,5084.0,342878.99,54,0.218192190162741
